source,round,log,m,recv,experts,layout,rank0_us,mean_rank_us,max_rank_us,tflops,hbm_gbs
baseline,5,round_05_mimo.log,4096,32686,48,BN128-split,5429.0,5429.1,5432.0,454.5,323.0
baseline,5,round_05_mimo.log,8192,65538,48,BN128-split,10179.0,10174.1,10182.0,486.1,245.0
baseline,6,round_06_mimo.log,8,64,39,BN256-standard,538.9,529.3,538.9,9.0,1539.0
baseline,6,round_06_mimo.log,16,118,45,BN256-standard,576.0,585.7,593.5,15.5,1663.0
baseline,6,round_06_mimo.log,32,241,48,BN256-standard,583.8,577.6,583.8,31.2,1755.0
baseline,6,round_06_mimo.log,64,546,48,BN256-standard,588.5,577.0,588.5,70.1,1753.0
baseline,6,round_06_mimo.log,128,984,48,BN256-standard,630.0,612.9,630.0,117.9,1653.0
baseline,6,round_06_mimo.log,256,2037,48,BN256-standard,597.4,593.0,604.7,257.4,1783.0
baseline,6,round_06_mimo.log,512,4097,48,BN256-standard,1036.0,1032.9,1038.0,298.6,1073.0
baseline,6,round_06_mimo.log,1024,8140,48,BN256-standard,1574.0,1566.0,1574.0,390.4,764.0
baseline,6,round_06_mimo.log,2048,16409,48,BN128-split,2874.0,2868.5,2874.0,431.1,483.0
baseline,6,round_06_mimo.log,4096,32686,48,BN128-split,5463.0,5457.9,5463.0,451.7,321.0
baseline,6,round_06_mimo.log,8192,65538,48,BN128-split,10194.0,10186.6,10194.0,485.4,245.0
baseline,7,round_07_mimo.log,8,64,39,BN256-standard,508.1,507.4,514.0,9.5,1633.0
baseline,7,round_07_mimo.log,16,118,45,BN256-standard,548.2,559.9,562.5,16.2,1748.0
baseline,7,round_07_mimo.log,32,241,48,BN256-standard,555.8,564.2,569.5,32.7,1844.0
baseline,7,round_07_mimo.log,64,546,48,BN256-standard,540.8,550.1,557.4,76.2,1907.0
baseline,7,round_07_mimo.log,128,984,48,BN256-standard,541.5,545.1,547.4,137.2,1923.0
baseline,7,round_07_mimo.log,256,2037,48,BN256-standard,547.3,549.6,554.1,281.0,1946.0
baseline,7,round_07_mimo.log,512,4097,48,BN256-standard,1029.0,1033.5,1038.0,300.6,1080.0
baseline,7,round_07_mimo.log,1024,8140,48,BN256-standard,1534.0,1535.5,1541.0,400.6,784.0
baseline,7,round_07_mimo.log,2048,16409,48,BN128-split,2858.0,2859.6,2864.0,433.5,486.0
baseline,7,round_07_mimo.log,4096,32686,48,BN128-split,5421.0,5422.1,5427.0,455.2,324.0
baseline,7,round_07_mimo.log,8192,65538,48,BN128-split,10180.0,10182.1,10185.0,486.0,245.0
baseline,8,round_08_mimo.log,8,64,39,BN256-standard,488.4,489.8,494.1,9.9,1698.0
baseline,8,round_08_mimo.log,16,118,45,BN256-standard,566.4,566.2,572.7,15.7,1692.0
baseline,8,round_08_mimo.log,32,241,48,BN256-standard,569.8,569.0,575.5,31.9,1798.0
baseline,8,round_08_mimo.log,64,546,48,BN256-standard,622.6,618.4,634.6,66.2,1657.0
baseline,8,round_08_mimo.log,128,984,48,BN256-standard,588.4,581.5,594.4,126.3,1770.0
baseline,8,round_08_mimo.log,256,2037,48,BN256-standard,564.1,562.2,568.4,272.6,1888.0
baseline,8,round_08_mimo.log,512,4097,48,BN256-standard,1024.0,1026.0,1030.0,302.1,1085.0
baseline,8,round_08_mimo.log,1024,8140,48,BN256-standard,1537.0,1537.3,1542.0,399.8,782.0
baseline,8,round_08_mimo.log,2048,16409,48,BN128-split,2851.0,2852.2,2857.0,434.5,487.0
baseline,8,round_08_mimo.log,4096,32686,48,BN128-split,5430.0,5431.5,5439.0,454.5,323.0
baseline,8,round_08_mimo.log,8192,65538,48,BN128-split,10235.0,10229.6,10246.0,483.4,244.0
baseline,9,round_09_mimo.log,8,64,39,BN256-standard,494.8,492.7,496.1,9.8,1677.0
baseline,9,round_09_mimo.log,16,118,45,BN256-standard,702.6,680.8,702.6,12.7,1364.0
baseline,9,round_09_mimo.log,32,241,48,BN256-standard,581.4,575.7,583.2,31.3,1762.0
baseline,9,round_09_mimo.log,64,546,48,BN256-standard,546.0,542.7,547.2,75.5,1889.0
baseline,9,round_09_mimo.log,128,984,48,BN256-standard,625.2,608.8,625.2,118.8,1666.0
baseline,9,round_09_mimo.log,256,2037,48,BN256-standard,560.3,556.1,560.4,274.5,1901.0
baseline,9,round_09_mimo.log,512,4097,48,BN256-standard,1031.0,1028.0,1032.0,300.0,1078.0
baseline,9,round_09_mimo.log,1024,8140,48,BN256-standard,1544.0,1541.8,1546.0,398.0,779.0
baseline,9,round_09_mimo.log,2048,16409,48,BN128-split,2853.0,2852.4,2855.0,434.2,487.0
baseline,9,round_09_mimo.log,4096,32686,48,BN128-split,5422.0,5419.9,5424.0,455.1,324.0
baseline,9,round_09_mimo.log,8192,65538,48,BN128-split,10205.0,10200.4,10210.0,484.9,245.0
baseline,10,round_10_mimo.log,8,64,39,BN256-standard,500.4,505.6,512.8,9.7,1658.0
baseline,10,round_10_mimo.log,16,118,45,BN256-standard,565.3,567.9,575.2,15.8,1695.0
baseline,10,round_10_mimo.log,32,241,48,BN256-standard,630.1,649.2,667.6,28.9,1626.0
baseline,10,round_10_mimo.log,64,546,48,BN256-standard,524.4,539.8,548.7,78.6,1967.0
baseline,10,round_10_mimo.log,128,984,48,BN256-standard,570.8,567.4,573.4,130.2,1825.0
baseline,10,round_10_mimo.log,256,2037,48,BN256-standard,568.3,567.2,574.4,270.6,1874.0
baseline,10,round_10_mimo.log,512,4097,48,BN256-standard,1034.0,1042.9,1052.0,299.1,1075.0
baseline,10,round_10_mimo.log,1024,8140,48,BN256-standard,1541.0,1541.7,1548.0,398.8,780.0
baseline,10,round_10_mimo.log,2048,16409,48,BN128-split,2865.0,2865.8,2874.0,432.4,485.0
baseline,10,round_10_mimo.log,4096,32686,48,BN128-split,5459.0,5463.4,5471.0,452.0,322.0
baseline,10,round_10_mimo.log,8192,65538,48,BN128-split,10202.0,10203.2,10214.0,485.0,245.0
baseline,11,round_11_mimo.log,8,64,39,BN256-standard,507.1,507.5,513.8,9.5,1636.0
baseline,11,round_11_mimo.log,16,118,45,BN256-standard,564.4,582.4,593.5,15.8,1698.0
baseline,11,round_11_mimo.log,32,241,48,BN256-standard,598.9,593.2,602.7,30.4,1711.0
baseline,11,round_11_mimo.log,64,546,48,BN256-standard,557.3,555.8,567.8,74.0,1851.0
baseline,11,round_11_mimo.log,128,984,48,BN256-standard,558.8,555.5,564.6,133.0,1864.0
baseline,11,round_11_mimo.log,256,2037,48,BN256-standard,573.2,573.6,583.2,268.3,1858.0
baseline,11,round_11_mimo.log,512,4097,48,BN256-standard,1095.0,1089.4,1107.0,282.5,1015.0
baseline,11,round_11_mimo.log,1024,8140,48,BN256-standard,1554.0,1552.9,1562.0,395.5,774.0
baseline,11,round_11_mimo.log,2048,16409,48,BN128-split,2867.0,2869.6,2880.0,432.1,484.0
baseline,11,round_11_mimo.log,4096,32686,48,BN128-split,5463.0,5467.1,5480.0,451.7,321.0
baseline,11,round_11_mimo.log,8192,65538,48,BN128-split,10237.0,10231.8,10245.0,483.3,244.0
baseline,12,round_12_mimo.log,8,64,39,BN256-standard,493.2,492.0,494.8,9.8,1682.0
baseline,12,round_12_mimo.log,16,118,45,BN256-standard,644.5,631.3,644.5,13.8,1487.0
baseline,12,round_12_mimo.log,32,241,48,BN256-standard,568.5,564.2,568.5,32.0,1802.0
baseline,12,round_12_mimo.log,64,546,48,BN256-standard,552.9,546.8,552.9,74.5,1866.0
baseline,12,round_12_mimo.log,128,984,48,BN256-standard,554.9,555.4,562.9,133.9,1877.0
baseline,12,round_12_mimo.log,256,2037,48,BN256-standard,557.0,553.3,557.0,276.1,1912.0
baseline,12,round_12_mimo.log,512,4097,48,BN256-standard,1034.0,1040.4,1048.0,299.1,1075.0
baseline,12,round_12_mimo.log,1024,8140,48,BN256-standard,1538.0,1537.4,1540.0,399.6,782.0
baseline,12,round_12_mimo.log,2048,16409,48,BN128-split,2854.0,2852.4,2855.0,434.1,487.0
baseline,12,round_12_mimo.log,4096,32686,48,BN128-split,5449.0,5450.5,5456.0,452.9,322.0
baseline,12,round_12_mimo.log,8192,65538,48,BN128-split,10175.0,10172.2,10177.0,486.3,245.0
baseline,13,round_13_mimo.log,8,64,39,BN256-standard,509.5,505.7,513.5,9.5,1628.0
baseline,13,round_13_mimo.log,16,118,45,BN256-standard,580.2,574.4,580.9,15.4,1651.0
baseline,13,round_13_mimo.log,32,241,48,BN256-standard,575.8,576.9,584.9,31.6,1779.0
baseline,13,round_13_mimo.log,64,546,48,BN256-standard,548.3,550.9,560.6,75.2,1881.0
baseline,13,round_13_mimo.log,128,984,48,BN256-standard,567.4,564.2,572.6,130.9,1835.0
baseline,13,round_13_mimo.log,256,2037,48,BN256-standard,593.7,586.1,597.4,259.0,1794.0
baseline,13,round_13_mimo.log,512,4097,48,BN256-standard,1047.0,1044.8,1053.0,295.4,1062.0
baseline,13,round_13_mimo.log,1024,8140,48,BN256-standard,1565.0,1558.2,1566.0,392.7,768.0
baseline,13,round_13_mimo.log,2048,16409,48,BN128-split,2862.0,2869.0,2876.0,432.9,485.0
baseline,13,round_13_mimo.log,4096,32686,48,BN128-split,5483.0,5476.6,5490.0,450.1,320.0
baseline,13,round_13_mimo.log,8192,65538,48,BN128-split,10196.0,10195.2,10202.0,485.3,245.0
baseline,14,round_14_mimo.log,8,64,39,BN256-standard,506.5,505.8,512.9,9.5,1638.0
baseline,14,round_14_mimo.log,16,118,45,BN256-standard,584.0,583.0,592.4,15.3,1641.0
baseline,14,round_14_mimo.log,32,241,48,BN256-standard,578.5,585.9,592.9,31.5,1771.0
baseline,14,round_14_mimo.log,64,546,48,BN256-standard,570.9,570.1,579.9,72.2,1807.0
